dataset_type,accuracy,precision,recall,f1-score,dataset,classifier,generator
mixed_comb,0.6284722222222222,0.25,0.009259259259259259,0.017857142857142856,RealWorld_waist_None,SVM,Doppelgangerger_synth
real,0.6732253086419753,0.46311010215664017,0.9444444444444444,0.6214775323686215,RealWorld_waist_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic,0.529320987654321,0.5204081632653061,0.3541666666666667,0.4214876033057851,RealWorld_waist_None,Random Forest,uncond_diffusion_unet1d_synth
mixed,0.6859567901234568,0.5124183006535947,0.9074074074074074,0.6549707602339181,RealWorld_waist_None,Random Forest,uncond_diffusion_unet1d_synth
real,0.652391975308642,0.4386503067484663,0.9930555555555556,0.6085106382978723,RealWorld_waist_None,SVM,uncond_diffusion_unet1d_synth
synthetic,0.3757716049382716,0.31058495821727017,0.5162037037037037,0.38782608695652177,RealWorld_waist_None,SVM,uncond_diffusion_unet1d_synth
mixed,0.6049382716049383,0.33420707732634336,0.5902777777777778,0.42677824267782427,RealWorld_waist_None,SVM,uncond_diffusion_unet1d_synth
synthetic_comb,0.5208333333333334,0.5872093023255814,0.2337962962962963,0.3344370860927152,RealWorld_waist_None,Random Forest,uncond_diffusion_unet1d_synth
mixed_comb,0.6871141975308642,0.50625,0.9375,0.6574675324675324,RealWorld_waist_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic_comb,0.47415123456790126,0.4407826982492276,0.9907407407407407,0.6101211689237348,RealWorld_waist_None,SVM,uncond_diffusion_unet1d_synth
mixed_comb,0.6400462962962963,0.38831615120274915,0.7847222222222222,0.5195402298850574,RealWorld_waist_None,SVM,uncond_diffusion_unet1d_synth
real,0.881159420289855,0.7814569536423841,0.855072463768116,0.8166089965397924,UCI_None,Random Forest,cond_diffusion_unet1d_synth
synthetic,0.6260869565217392,0.6976744186046512,0.43478260869565216,0.5357142857142857,UCI_None,Random Forest,cond_diffusion_unet1d_synth
mixed,0.8304347826086956,0.8504672897196262,0.6594202898550725,0.7428571428571429,UCI_None,Random Forest,cond_diffusion_unet1d_synth
real,0.7855072463768116,0.7857142857142857,0.07971014492753623,0.14473684210526316,UCI_None,SVM,cond_diffusion_unet1d_synth
synthetic,0.4115942028985507,0.5833333333333334,0.2028985507246377,0.3010752688172043,UCI_None,SVM,cond_diffusion_unet1d_synth
mixed,0.7405797101449275,0.6666666666666666,0.18840579710144928,0.2937853107344633,UCI_None,SVM,cond_diffusion_unet1d_synth
synthetic_comb,0.3826086956521739,0.8333333333333334,0.14492753623188406,0.24691358024691357,UCI_None,Random Forest,cond_diffusion_unet1d_synth
mixed_comb,0.8492753623188406,0.8857142857142857,0.6739130434782609,0.7654320987654321,UCI_None,Random Forest,cond_diffusion_unet1d_synth
synthetic_comb,0.4608695652173913,0.25925925925925924,0.050724637681159424,0.08484848484848485,UCI_None,SVM,cond_diffusion_unet1d_synth
